=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.01.23 11:33:07 =~=~=~=~=~=~=~=~=~=~=~=,,,,,
IR,Red,(approx. 2 minutes of readings),,,"(test data only, data filtering/amplification may need tweaking)"
67617,72635,,,,
67610,72629,,,,
67613,72632,,,,
67616,72632,,,,
67609,72650,,,,
67607,72642,,,,
67610,72648,,,,
67607,72637,,,,
67615,72645,,,,
67605,72650,,,,
67607,72644,,,,
67609,72669,,,,
67613,72622,,,,
67609,72617,,,,
67636,72625,,,,
67630,72614,,,,
67619,72627,,,,
67621,72606,,,,
67606,72626,,,,
67596,72621,,,,
67586,72617,,,,
67582,72622,,,,
67617,72606,,,,
67599,72612,,,,
67592,72608,,,,
67600,72646,,,,
67603,72645,,,,
67618,72642,,,,
67615,72650,,,,
67611,72623,,,,
67607,72636,,,,
67620,72634,,,,
67616,72622,,,,
67616,72633,,,,
67592,72649,,,,
67609,72624,,,,
67619,72623,,,,
67607,72632,,,,
67606,72620,,,,
67622,72621,,,,
67601,72609,,,,
67613,72622,,,,
67623,72628,,,,
67590,72622,,,,
67611,72629,,,,
67601,72642,,,,
67597,72642,,,,
67594,72639,,,,
67604,72657,,,,
67631,72668,,,,
67618,72658,,,,
67603,72643,,,,
67620,72662,,,,
67627,72638,,,,
67619,72637,,,,
67619,72638,,,,
67643,72657,,,,
67616,72657,,,,
67626,72648,,,,
67598,72646,,,,
67631,72653,,,,
67602,72642,,,,
67602,72647,,,,
67595,72626,,,,
67624,72625,,,,
67600,72643,,,,
67605,72645,,,,
67603,72663,,,,
67593,72650,,,,
67602,72658,,,,
67621,72668,,,,
67611,72688,,,,
67613,72675,,,,
67608,72688,,,,
67602,72675,,,,
67631,72650,,,,
67639,72660,,,,
67626,72651,,,,
67628,72685,,,,
67613,72657,,,,
67612,72669,,,,
67615,72659,,,,
67607,72688,,,,
67616,72697,,,,
67612,72673,,,,
67619,72689,,,,
67609,72692,,,,
67612,72694,,,,
67640,72686,,,,
67635,72699,,,,
67637,72688,,,,
67623,72687,,,,
67632,72703,,,,
67635,72683,,,,
67641,72670,,,,
67643,72662,,,,
67630,72688,,,,
67623,72680,,,,
67646,72685,,,,
67617,72674,,,,
67621,72685,,,,
67627,72684,,,,
67633,72675,,,,
67618,72680,,,,
67620,72659,,,,
67624,72677,,,,
67625,72668,,,,
67616,72692,,,,
67619,72703,,,,
67621,72727,,,,
67640,72719,,,,
67629,72715,,,,
67649,72685,,,,
67650,72690,,,,
67636,72705,,,,
67639,72707,,,,
67646,72695,,,,
67639,72689,,,,
67635,72695,,,,
67627,72685,,,,
67643,72707,,,,
67606,72678,,,,
67641,72715,,,,
67628,72669,,,,
67637,72697,,,,
67614,72701,,,,
67611,72715,,,,
67632,72703,,,,
67632,72719,,,,
67642,72706,,,,
67628,72724,,,,
67634,72726,,,,
67636,72726,,,,
67640,72722,,,,
67637,72724,,,,
67657,72710,,,,
67643,72715,,,,
67652,72706,,,,
67664,72732,,,,
67636,72723,,,,
67647,72719,,,,
67604,72716,,,,
67641,72730,,,,
67627,72709,,,,
67647,72713,,,,
67634,72739,,,,
67635,72709,,,,
67641,72717,,,,
67620,72731,,,,
67606,72747,,,,
67623,72754,,,,
67634,72739,,,,
67633,72742,,,,
67646,72736,,,,
67635,72767,,,,
67648,72772,,,,
67646,72755,,,,
67653,72766,,,,
67663,72752,,,,
67658,72737,,,,
67652,72740,,,,
67638,72741,,,,
67643,72735,,,,
67652,72776,,,,
67639,72753,,,,
67646,72749,,,,
67635,72732,,,,
67631,72748,,,,
67640,72741,,,,
67639,72758,,,,
67651,72775,,,,
67653,72776,,,,
67652,72769,,,,
67644,72788,,,,
67647,72788,,,,
67650,72786,,,,
67654,72791,,,,
67663,72816,,,,
67660,72771,,,,
67686,72794,,,,
67651,72779,,,,
67679,72777,,,,
67648,72796,,,,
67635,72779,,,,
67649,72781,,,,
67654,72781,,,,
67661,72793,,,,
67655,72786,,,,
67665,72777,,,,
67661,72790,,,,
67655,72795,,,,
67649,72805,,,,
67653,72812,,,,
67641,72815,,,,
67651,72811,,,,
67676,72836,,,,
67662,72803,,,,
67669,72824,,,,
67637,72822,,,,
67684,72829,,,,
67674,72809,,,,
67685,72813,,,,
67683,72807,,,,
67671,72798,,,,
67663,72825,,,,
67665,72821,,,,
67665,72821,,,,
67659,72801,,,,
67675,72801,,,,
67654,72802,,,,
67654,72838,,,,
67655,72835,,,,
67667,72839,,,,
67660,72817,,,,
67654,72838,,,,
67679,72862,,,,
67676,72835,,,,
67669,72844,,,,
67675,72866,,,,
67685,72857,,,,
67679,72832,,,,
67673,72837,,,,
67685,72841,,,,
67690,72837,,,,
67687,72837,,,,
67666,72837,,,,
67680,72840,,,,
67660,72831,,,,
67662,72835,,,,
67661,72841,,,,
67676,72850,,,,
67663,72845,,,,
67663,72839,,,,
67666,72849,,,,
67662,72876,,,,
67676,72874,,,,
67664,72876,,,,
67680,72866,,,,
67681,72870,,,,
67673,72870,,,,
67666,72870,,,,
67686,72847,,,,
67677,72849,,,,
67677,72867,,,,
67701,72861,,,,
67683,72843,,,,
67697,72844,,,,
67656,72859,,,,
67694,72865,,,,
67682,72854,,,,
67679,72867,,,,
67667,72860,,,,
67683,72857,,,,
67672,72886,,,,
67676,72871,,,,
67688,72881,,,,
67673,72879,,,,
67684,72912,,,,
67681,72896,,,,
67704,72890,,,,
67681,72891,,,,
67696,72886,,,,
67710,72897,,,,
67691,72888,,,,
67697,72881,,,,
67698,72890,,,,
67687,72887,,,,
67688,72882,,,,
67679,72897,,,,
67700,72878,,,,
67694,72891,,,,
67684,72869,,,,
67676,72897,,,,
67672,72905,,,,
67680,72896,,,,
67698,72894,,,,
67679,72913,,,,
67680,72924,,,,
67677,72939,,,,
67691,72934,,,,
67698,72948,,,,
67697,72916,,,,
67715,72927,,,,
67713,72922,,,,
67702,72913,,,,
67714,72905,,,,
67702,72881,,,,
67694,72905,,,,
67692,72908,,,,
67693,72910,,,,
67699,72909,,,,
67677,72898,,,,
67675,72911,,,,
67701,72905,,,,
67688,72898,,,,
67697,72905,,,,
67696,72915,,,,
67685,72925,,,,
67672,72921,,,,
67680,72917,,,,
67680,72932,,,,
67684,72919,,,,
67701,72948,,,,
67714,72916,,,,
67713,72933,,,,
67713,72930,,,,
67700,72936,,,,
67694,72909,,,,
67690,72915,,,,
